text_cleaned,text_tokens,text_stemmed,text_lemmatized,text_removal,text_bigrams,text_trigrams
polisi indonesia banyak yang bodoh salah tangkap orang,"['polisi', 'indonesia', 'banyak', 'yang', 'bodoh', 'salah', 'tangkap', 'orang']","['polisi', 'indonesia', 'banyak', 'yang', 'bodoh', 'salah', 'tangkap', 'orang']","['polisi', 'indonesia', 'banyak', 'yang', 'bodoh', 'salah', 'tangkap', 'orang']","['polisi', 'indonesia', 'bodoh', 'salah', 'tangkap', 'orang']",polisi_indonesia indonesia_banyak banyak_yang yang_bodoh bodoh_salah salah_tangkap tangkap_orang,polisi_indonesia_banyak indonesia_banyak_yang banyak_yang_bodoh yang_bodoh_salah bodoh_salah_tangkap salah_tangkap_orang
daging semua makasih edukasi nya om,"['daging', 'semua', 'makasih', 'edukasi', 'nya', 'om']","['dage', 'semua', 'makasih', 'edukasi', 'nya', 'om']","['dage', 'semua', 'makasih', 'edukasi', 'nya', 'om']","['dage', 'makasih', 'edukasi', 'nya', 'om']",daging_semua semua_makasih makasih_edukasi edukasi_nya nya_om,daging_semua_makasih semua_makasih_edukasi makasih_edukasi_nya edukasi_nya_om
nangkip si plonga plongo kayak fufufafa aja kagak becus ewkkwkwkkw,"['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becus', 'ewkkwkwkkw']","['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becu', 'ewkkwkwkkw']","['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becu', 'ewkkwkwkkw']","['nangkip', 'si', 'plonga', 'plongo', 'kayak', 'fufufafa', 'aja', 'kagak', 'becu', 'ewkkwkwkkw']",nangkip_si si_plonga plonga_plongo plongo_kayak kayak_fufufafa fufufafa_aja aja_kagak kagak_becus becus_ewkkwkwkkw,nangkip_si_plonga si_plonga_plongo plonga_plongo_kayak plongo_kayak_fufufafa kayak_fufufafa_aja fufufafa_aja_kagak aja_kagak_becus kagak_becus_ewkkwkwkkw
wow cyber indonesia di sepelei sama ini orang,"['wow', 'cyber', 'indonesia', 'di', 'sepelei', 'sama', 'ini', 'orang']","['wow', 'cyber', 'indonesia', 'di', 'sepelei', 'sama', 'ini', 'orang']","['wow', 'cyber', 'indonesia', 'di', 'sepelei', 'sama', 'ini', 'orang']","['wow', 'cyber', 'indonesia', 'sepelei', 'orang']",wow_cyber cyber_indonesia indonesia_di di_sepelei sepelei_sama sama_ini ini_orang,wow_cyber_indonesia cyber_indonesia_di indonesia_di_sepelei di_sepelei_sama sepelei_sama_ini sama_ini_orang
kerja polisi kita apa sih serius gw nanya,"['kerja', 'polisi', 'kita', 'apa', 'sih', 'serius', 'gw', 'nanya']","['kerja', 'polisi', 'kita', 'apa', 'sih', 'seriu', 'gw', 'nanya']","['kerja', 'polisi', 'kita', 'apa', 'sih', 'seriu', 'gw', 'nanya']","['kerja', 'polisi', 'sih', 'seriu', 'gw', 'nanya']",kerja_polisi polisi_kita kita_apa apa_sih sih_serius serius_gw gw_nanya,kerja_polisi_kita polisi_kita_apa kita_apa_sih apa_sih_serius sih_serius_gw serius_gw_nanya
alangkah pintarnya anakanak indonesia tapiyang jadi wakil presiden oon di dukung lagi dengan yang punya cenel ini teganya jerumuskan negara,"['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'jadi', 'wakil', 'presiden', 'oon', 'di', 'dukung', 'lagi', 'dengan', 'yang', 'punya', 'cenel', 'ini', 'teganya', 'jerumuskan', 'negara', 'indonesia']","['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'jadi', 'wakil', 'presiden', 'oon', 'di', 'dukung', 'lagi', 'dengan', 'yang', 'punya', 'cenel', 'ini', 'teganya', 'jerumuskan', 'negara', 'indonesia']","['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'jadi', 'wakil', 'presiden', 'oon', 'di', 'dukung', 'lagi', 'dengan', 'yang', 'punya', 'cenel', 'ini', 'teganya', 'jerumuskan', 'negara', 'indonesia']","['alangkah', 'pintarnya', 'anakanak', 'indonesia', 'tapiyang', 'wakil', 'presiden', 'oon', 'dukung', 'cenel', 'teganya', 'jerumuskan', 'negara', 'indonesia']",alangkah_pintarnya pintarnya_anakanak anakanak_indonesia indonesia_tapiyang tapiyang_jadi jadi_wakil wakil_presiden presiden_oon oon_di di_dukung dukung_lagi lagi_dengan dengan_yang yang_punya punya_cenel cenel_ini ini_teganya teganya_jerumuskan jerumuskan_negara,alangkah_pintarnya_anakanak pintarnya_anakanak_indonesia anakanak_indonesia_tapiyang indonesia_tapiyang_jadi tapiyang_jadi_wakil jadi_wakil_presiden wakil_presiden_oon presiden_oon_di oon_di_dukung di_dukung_lagi dukung_lagi_dengan lagi_dengan_yang dengan_yang_punya yang_punya_cenel punya_cenel_ini cenel_ini_teganya ini_teganya_jerumuskan teganya_jerumuskan_negara
kang palak di parkiran aja ga ke tangkepdah jelas tuapa lagi yg ginian,"['kang', 'palak', 'di', 'parkiran', 'aja', 'ga', 'ke', 'tangkepdah', 'jelas', 'tuapa', 'lagi', 'yg', 'ginian']","['kang', 'palak', 'di', 'parkiran', 'aja', 'ga', 'ke', 'tangkepdah', 'jela', 'tuapa', 'lagi', 'yg', 'ginian']","['kang', 'palak', 'di', 'parkiran', 'aja', 'ga', 'ke', 'tangkepdah', 'jela', 'tuapa', 'lagi', 'yg', 'ginian']","['kang', 'palak', 'parkiran', 'aja', 'ga', 'tangkepdah', 'jela', 'tuapa', 'yg', 'ginian']",kang_palak palak_di di_parkiran parkiran_aja aja_ga ga_ke ke_tangkepdah tangkepdah_jelas jelas_tuapa tuapa_lagi lagi_yg yg_ginian,kang_palak_di palak_di_parkiran di_parkiran_aja parkiran_aja_ga aja_ga_ke ga_ke_tangkepdah ke_tangkepdah_jelas tangkepdah_jelas_tuapa jelas_tuapa_lagi tuapa_lagi_yg lagi_yg_ginian
our duke is exist or non either ghost alive no one can defeat,"['our', 'duke', 'is', 'exist', 'or', 'non', 'either', 'ghost', 'alive', 'no', 'one', 'can', 'defeat', 'duke']","['our', 'duke', 'is', 'exist', 'or', 'non', 'either', 'ghost', 'aliv', 'no', 'one', 'can', 'defeat', 'duke']","['our', 'duke', 'is', 'exist', 'or', 'non', 'either', 'ghost', 'aliv', 'no', 'one', 'can', 'defeat', 'duke']","['our', 'duke', 'is', 'exist', 'or', 'non', 'either', 'ghost', 'aliv', 'no', 'one', 'can', 'defeat', 'duke']",our_duke duke_is is_exist exist_or or_non non_either either_ghost ghost_alive alive_no no_one one_can can_defeat,our_duke_is duke_is_exist is_exist_or exist_or_non or_non_either non_either_ghost either_ghost_alive ghost_alive_no alive_no_one no_one_can one_can_defeat
sudomaster watch this podcast another meme of whistleblower regard duke self claimer,"['sudomaster', 'watch', 'this', 'podcast', 'another', 'meme', 'of', 'whistleblower', 'regard', 'duke', 'self', 'claimer', 'meme']","['sudomast', 'watch', 'thi', 'podcast', 'anoth', 'meme', 'of', 'whistleblow', 'regard', 'duke', 'self', 'claimer', 'meme']","['sudomast', 'watch', 'thi', 'podcast', 'anoth', 'meme', 'of', 'whistleblow', 'regard', 'duke', 'self', 'claimer', 'meme']","['sudomast', 'watch', 'thi', 'podcast', 'anoth', 'meme', 'of', 'whistleblow', 'regard', 'duke', 'self', 'claimer', 'meme']",sudomaster_watch watch_this this_podcast podcast_another another_meme meme_of of_whistleblower whistleblower_regard regard_duke duke_self self_claimer,sudomaster_watch_this watch_this_podcast this_podcast_another podcast_another_meme another_meme_of meme_of_whistleblower of_whistleblower_regard whistleblower_regard_duke regard_duke_self duke_self_claimer
908 gw pernah kena 8 jt anjr,"['908', 'gw', 'pernah', 'kena', '8', 'jt', 'anjr']","['908', 'gw', 'pernah', 'kena', '8', 'jt', 'anjr']","['908', 'gw', 'pernah', 'kena', '8', 'jt', 'anjr']","['908', 'gw', 'kena', '8', 'jt', 'anjr']",908_gw gw_pernah pernah_kena kena_8 8_jt jt_anjr,908_gw_pernah gw_pernah_kena pernah_kena_8 kena_8_jt 8_jt_anjr
gua berharap bjorka buat twit tentang kejadian ini klo dia punya waktu,"['gua', 'berharap', 'bjorka', 'buat', 'twit', 'tentang', 'kejadian', 'ini', 'klo', 'dia', 'punya', 'waktu']","['gua', 'berharap', 'bjorka', 'buat', 'twit', 'tentang', 'kejadian', 'ini', 'klo', 'dia', 'punya', 'waktu']","['gua', 'berharap', 'bjorka', 'buat', 'twit', 'tentang', 'kejadian', 'ini', 'klo', 'dia', 'punya', 'waktu']","['gua', 'berharap', 'bjorka', 'twit', 'kejadian', 'klo']",gua_berharap berharap_bjorka bjorka_buat buat_twit twit_tentang tentang_kejadian kejadian_ini ini_klo klo_dia dia_punya punya_waktu,gua_berharap_bjorka berharap_bjorka_buat bjorka_buat_twit buat_twit_tentang twit_tentang_kejadian tentang_kejadian_ini kejadian_ini_klo ini_klo_dia klo_dia_punya dia_punya_waktu
plot twist bintang tamu bjorka,"['plot', 'twist', 'bintang', 'tamu', 'bjorka']","['plot', 'twist', 'bintang', 'tamu', 'bjorka']","['plot', 'twist', 'bintang', 'tamu', 'bjorka']","['plot', 'twist', 'bintang', 'tamu', 'bjorka']",plot_twist twist_bintang bintang_tamu tamu_bjorka,plot_twist_bintang twist_bintang_tamu bintang_tamu_bjorka
kata gen z cybereskrim afk,"['kata', 'gen', 'z', 'cybereskrim', 'afk']","['kata', 'gen', 'z', 'cybereskrim', 'afk']","['kata', 'gen', 'z', 'cybereskrim', 'afk']","['gen', 'z', 'cybereskrim', 'afk']",kata_gen gen_z z_cybereskrim cybereskrim_afk,kata_gen_z gen_z_cybereskrim z_cybereskrim_afk
waduh akun ml gua namanya bjorka lagi di tangkap ga yah kira,"['waduh', 'akun', 'ml', 'gua', 'namanya', 'bjorka', 'lagi', 'di', 'tangkap', 'ga', 'yah', 'kira', 'gua']","['waduh', 'akun', 'ml', 'gua', 'namanya', 'bjorka', 'lagi', 'di', 'tangkap', 'ga', 'yah', 'kira', 'gua']","['waduh', 'akun', 'ml', 'gua', 'namanya', 'bjorka', 'lagi', 'di', 'tangkap', 'ga', 'yah', 'kira', 'gua']","['akun', 'ml', 'gua', 'namanya', 'bjorka', 'tangkap', 'ga', 'yah', 'gua']",waduh_akun akun_ml ml_gua gua_namanya namanya_bjorka bjorka_lagi lagi_di di_tangkap tangkap_ga ga_yah yah_kira,waduh_akun_ml akun_ml_gua ml_gua_namanya gua_namanya_bjorka namanya_bjorka_lagi bjorka_lagi_di lagi_di_tangkap di_tangkap_ga tangkap_ga_yah ga_yah_kira
data polisi dibuka harusnya yg beli oposisi bisa jadi senjata politik itu,"['data', 'polisi', 'dibuka', 'harusnya', 'yg', 'beli', 'oposisi', 'bisa', 'jadi', 'senjata', 'politik', 'itu']","['data', 'polisi', 'dibuka', 'harusnya', 'yg', 'beli', 'oposisi', 'bisa', 'jadi', 'senjata', 'politik', 'itu']","['data', 'polisi', 'dibuka', 'harusnya', 'yg', 'beli', 'oposisi', 'bisa', 'jadi', 'senjata', 'politik', 'itu']","['data', 'polisi', 'dibuka', 'yg', 'beli', 'oposisi', 'senjata', 'politik']",data_polisi polisi_dibuka dibuka_harusnya harusnya_yg yg_beli beli_oposisi oposisi_bisa bisa_jadi jadi_senjata senjata_politik politik_itu,data_polisi_dibuka polisi_dibuka_harusnya dibuka_harusnya_yg harusnya_yg_beli yg_beli_oposisi beli_oposisi_bisa oposisi_bisa_jadi bisa_jadi_senjata jadi_senjata_politik senjata_politik_itu
proyek baik jabatan polisi itu nangkep orang walaupun kadang maksa wkwk,"['proyek', 'baik', 'jabatan', 'polisi', 'itu', 'nangkep', 'orang', 'walaupun', 'kadang', 'maksa', 'wkwk']","['proyek', 'baik', 'jabatan', 'polisi', 'itu', 'nangkep', 'orang', 'walaupun', 'kadang', 'maksa', 'wkwk']","['proyek', 'baik', 'jabatan', 'polisi', 'itu', 'nangkep', 'orang', 'walaupun', 'kadang', 'maksa', 'wkwk']","['proyek', 'jabatan', 'polisi', 'nangkep', 'orang', 'kadang', 'maksa', 'wkwk']",proyek_baik baik_jabatan jabatan_polisi polisi_itu itu_nangkep nangkep_orang orang_walaupun walaupun_kadang kadang_maksa maksa_wkwk,proyek_baik_jabatan baik_jabatan_polisi jabatan_polisi_itu polisi_itu_nangkep itu_nangkep_orang nangkep_orang_walaupun orang_walaupun_kadang walaupun_kadang_maksa kadang_maksa_wkwk
si kadal di kadalin hahaha datanya langsung buka buat pak pol perbaiki hal kecil dulu sebelum besar contoh nih kaya atur lalin jam kerja 5 pagi udh standby dh titik2 kemacetan jangan foto doang atau baru tiba saat udah bukan sibuk macetnya selesai coba deh terima kritik dan saran saya nanti pasti akan terlihat perubahannya bisa nangkep yg gede2,"['si', 'kadal', 'di', 'kadalin', 'hahaha', 'datanya', 'langsung', 'buka', 'buat', 'pak', 'pol', 'perbaiki', 'hal', 'kecil', 'dulu', 'sebelum', 'besar', 'contoh', 'nih', 'kaya', 'atur', 'lalin', 'jam', 'kerja', '5', 'pagi', 'udh', 'standby', 'dh', 'titik2', 'kemacetan', 'jangan', 'foto', 'doang', 'atau', 'baru', 'tiba', 'saat', 'udah', 'bukan', 'sibuk', 'macetnya', 'selesai', 'coba', 'deh', 'terima', 'kritik', 'dan', 'saran', 'saya', 'nanti', 'pasti', 'akan', 'terlihat', 'perubahannya', 'bisa', 'nangkep', 'yg', 'gede2']","['si', 'kadal', 'di', 'kadalin', 'hahaha', 'datanya', 'langsung', 'buka', 'buat', 'pak', 'pol', 'perbaiki', 'hal', 'kecil', 'dulu', 'sebelum', 'besar', 'contoh', 'nih', 'kaya', 'atur', 'lalin', 'jam', 'kerja', '5', 'pagi', 'udh', 'standbi', 'dh', 'titik2', 'kemacetan', 'jangan', 'foto', 'doang', 'atau', 'baru', 'tiba', 'saat', 'udah', 'bukan', 'sibuk', 'macetnya', 'selesai', 'coba', 'deh', 'terima', 'kritik', 'dan', 'saran', 'saya', 'nanti', 'pasti', 'akan', 'terlihat', 'perubahannya', 'bisa', 'nangkep', 'yg', 'gede2']","['si', 'kadal', 'di', 'kadalin', 'hahaha', 'datanya', 'langsung', 'buka', 'buat', 'pak', 'pol', 'perbaiki', 'hal', 'kecil', 'dulu', 'sebelum', 'besar', 'contoh', 'nih', 'kaya', 'atur', 'lalin', 'jam', 'kerja', '5', 'pagi', 'udh', 'standbi', 'dh', 'titik2', 'kemacetan', 'jangan', 'foto', 'doang', 'atau', 'baru', 'tiba', 'saat', 'udah', 'bukan', 'sibuk', 'macetnya', 'selesai', 'coba', 'deh', 'terima', 'kritik', 'dan', 'saran', 'saya', 'nanti', 'pasti', 'akan', 'terlihat', 'perubahannya', 'bisa', 'nangkep', 'yg', 'gede2']","['si', 'kadal', 'kadalin', 'hahaha', 'datanya', 'langsung', 'buka', 'pol', 'perbaiki', 'contoh', 'nih', 'kaya', 'atur', 'lalin', 'jam', 'kerja', '5', 'pagi', 'udh', 'standbi', 'dh', 'titik2', 'kemacetan', 'foto', 'doang', 'udah', 'sibuk', 'macetnya', 'selesai', 'coba', 'deh', 'terima', 'kritik', 'saran', 'perubahannya', 'nangkep', 'yg', 'gede2']",si_kadal kadal_di di_kadalin kadalin_hahaha hahaha_datanya datanya_langsung langsung_buka buka_buat buat_pak pak_pol pol_perbaiki perbaiki_hal hal_kecil kecil_dulu dulu_sebelum sebelum_besar besar_contoh contoh_nih nih_kaya kaya_atur atur_lalin lalin_jam jam_kerja kerja_5 5_pagi pagi_udh udh_standby standby_dh dh_titik2 titik2_kemacetan kemacetan_jangan jangan_foto foto_doang doang_atau atau_baru baru_tiba tiba_saat saat_udah udah_bukan bukan_sibuk sibuk_macetnya macetnya_selesai selesai_coba coba_deh deh_terima terima_kritik kritik_dan dan_saran saran_saya saya_nanti nanti_pasti pasti_akan akan_terlihat terlihat_perubahannya perubahannya_bisa bisa_nangkep nangkep_yg yg_gede2,si_kadal_di kadal_di_kadalin di_kadalin_hahaha kadalin_hahaha_datanya hahaha_datanya_langsung datanya_langsung_buka langsung_buka_buat buka_buat_pak buat_pak_pol pak_pol_perbaiki pol_perbaiki_hal perbaiki_hal_kecil hal_kecil_dulu kecil_dulu_sebelum dulu_sebelum_besar sebelum_besar_contoh besar_contoh_nih contoh_nih_kaya nih_kaya_atur kaya_atur_lalin atur_lalin_jam lalin_jam_kerja jam_kerja_5 kerja_5_pagi 5_pagi_udh pagi_udh_standby udh_standby_dh standby_dh_titik2 dh_titik2_kemacetan titik2_kemacetan_jangan kemacetan_jangan_foto jangan_foto_doang foto_doang_atau doang_atau_baru atau_baru_tiba baru_tiba_saat tiba_saat_udah saat_udah_bukan udah_bukan_sibuk bukan_sibuk_macetnya sibuk_macetnya_selesai macetnya_selesai_coba selesai_coba_deh coba_deh_terima deh_terima_kritik terima_kritik_dan kritik_dan_saran dan_saran_saya saran_saya_nanti saya_nanti_pasti nanti_pasti_akan pasti_akan_terlihat akan_terlihat_perubahannya terlihat_perubahannya_bisa perubahannya_bisa_nangkep bisa_nangkep_yg nangkep_yg_gede2
itu mah polisi nangkep biar naik jabatan aja,"['itu', 'mah', 'polisi', 'nangkep', 'biar', 'naik', 'jabatan', 'aja']","['itu', 'mah', 'polisi', 'nangkep', 'biar', 'naik', 'jabatan', 'aja']","['itu', 'mah', 'polisi', 'nangkep', 'biar', 'naik', 'jabatan', 'aja']","['mah', 'polisi', 'nangkep', 'biar', 'jabatan', 'aja']",itu_mah mah_polisi polisi_nangkep nangkep_biar biar_naik naik_jabatan jabatan_aja,itu_mah_polisi mah_polisi_nangkep polisi_nangkep_biar nangkep_biar_naik biar_naik_jabatan naik_jabatan_aja
