,text_cleaned,label
99,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,netral
100,oiya orang kalimantan sekarang udah keluar hackernya,netral
101,sm kyk flim the accountant dongyg dibantu oleh it autism,netral
102,berarti polisi ngawur dongmaksudnya apa yaaa,negatif
103,polisi tidur nyata dan banyak,negatif
104,ladusing kaga mampu tangkap byorka krna setiap pembicaraan itu udhh tw jadi gk mungkin klw bandar judol kecil c bisa lah,negatif
105,policinya sibuk olahraga lari kalau pagi nggak sempet belajar wkwkwk,netral
106,judol dong di bahas,netral
107,narasumber dalam ke adaan tidak aman bukanya dc adalah intelijen,netral
108,gua yakin bjorka nonton ini sambil berak pegang hp dan ketawa ha hi,netral
109,sekali kali undang pak jim geovedi dari sudut pandang dia bagaimana keamanan cyber di indonesia om ded,netral
110,tapi serius komunitas hacker itu orang nya asik tahun 20122013 tuh pernah join salah satu grup blackhat dan isinya bener ga pelit ilmu yg diajarin selalu dikasih catatan gunakan dengan bijak jangan digunakan di negara sendiri jadi aktivitas pernah² pantau sama anak tersebut,negatif
111,lawakan mu sungguh lah lucu,netral
112,jarang kerja sekalinya gk bnr,netral
113,benjamin angel di the movie who am i yg bisa nangkep hacker ya itu sendiri,negatif
114,salah satu faktor jepang gandeng india perbanyak kehidupan di,netral
115,𝙂𝙖𝙠 𝙠𝙚𝙧𝙟𝙖 𝙩𝙖𝙥𝙞 𝙙𝙞𝙜𝙖𝙟𝙞 𝙟𝙖𝙙𝙞 𝙥𝙤𝙡𝙞𝙨𝙞,netral
116,obrolan om teguh banyak chuaakkssnya wkwkw,netral
117,polisi kelihatan bodohnya,negatif
118,wes to percaya saya bjorka itu adalah orang kepolisianarmy sendiri yaitu intelejen ttd ardian shacker no wahid indonesia,netral
119,𝐇𝐔𝐑𝐀𝟓𝟎𝟎 jamin anti rungkad,netral
120,we do not own what produceit owns us,netral
121,ajibb karna gak ada prestasi mungkin mereka butuh kelas boosss,netral
122,tugasnya hanya berdiri di depan spbu foto2,netral
123,jangan kan prestasi kerja nyata dan bener aja udah susah mereka lakukan institusinya kaga bisa sulit dipercaya udh kebangetan bobrok harus di reformasirusak sistemnya sudah dongo banget kegocek anak punk,negatif
124,malu maluin kepolisan konaha,negatif
125,segitu parah nya instansi itu di mata rakyak sampe hacker yg baik aja ga mau nolong ketika dia obok² datanya malah anggap hiburan,negatif
126,pelayan kita memang lebih pinter ngelawak daripada ngejalani tugas,netral
127,ini nih saya lagi mau belajar hidup it,netral
128,om ded coba tanya narsumnyapernah ditangkap fbi cia belum,netral
129,saya bjorka tertawa terbahak bahak melihat semua kegaduhan ini,netral
130,paling suka menit 46 detik 13,netral
131,mantap bos dedi,netral
132,polisi kita itu banyak yg bodoh terutama cuma tamat sma tes masuk tanpa kemampuan gaji gede sementara ank kuliah s1 sulit cari kerja,negatif
133,kalau soal salah tangkap itu sudah hal biasa di kepolisian indonesia bukan polisi tidak,negatif
134,polisi berperestasi bntr2 gw numpang ketawa dulu behahahaha,netral
135,knp lara hacker ngk mau bobol apk pinjol,netral
136,bjorka muncul lgi stlh punk ditangkapbjorka akan bocorkan tentang bgn yg sansitif,netral
137,kalo bener bearti 2 kali salah tangkep bjorka udahlah buang waktu,netral
138,anakpintar bukan dipelihara negarayg koruptor,netral
139,biorka itu orang bali,netral
140,bisa dibilang memang benar dengan statement tentang kualitas tim cyber kepolisian karena dlupun pernah ada kasus komunitas sbh yg tertangkap 700 bawahan laporan fbi ke indonesia lokasi terkini di surabaya,netral
141,cobaq semua hekker di jadikan asn bisa masuk polisi tni dan staf negara,negatif
142,ya ngga tau mungkin karena gk ada prestasi selama ini jadi butuh,netral
143,,netral
144,salah tangkap mau taruh dimana itu muka pak pol,negatif
145,polisi adalah institusi paling tidak berguna,negatif
146,pegasus israel,netral
147,yakin personilnya saja banyak yg kepilih hasil dari jual sawah bukan krn sdm trs klaim bisa nangkep bjorka koplak,negatif
148,,netral
149,ngakak emang ya dengernya,negatif
150,bjorka bocorkan data ijazah pejabat,netral
151,sumph dri dulu polisi smpek skrng gk ad kualitas nya gmna mau org lulusan rendah dan usah pinter yg penting duit cair bisa jdi,negatif
152,efek reformasi kepolisian,negatif
153,jgnkan hacker hp ku saja yg kemalingan 20unit lebih sampai skrng gsk di dapat pelakuny padahal smua imei ny ada sy catat tapi gak bisa lacak dari 20hp hanya 4 dpat itupun nanti ciduk sndiri info jual beli minta pendamping polisi buat temani tdk ready kantor kacau emang negri ini,negatif
154,yang ada didepan mata aja ndak ditangkapsok2an nangkap bjorka konyol,negatif
155,entar jangan orang biasanya nyari sumbangan pakai map di tangkap dibilangnya bandar judol maklum lah mau akhir taun buat sarana naikin jabatan,negatif
156,mana biorka muncul dong kalau bukan lo yang ditangkap,netral
157,tidak ada sistem yang aman,netral
158,pada intinya negara ti tidak mau rakyat nya piterpengennya pinter tpi bisa di atur sesuai kepentinganujung ujung harus bodoh,netral
159,hacker kelas atas ga mungkin ketangkep sama ecek,netral
160,dedi terlihat bego di depan orang ini,netral
161,curiga abang ini yang dulu bikin cheat point blank pekalongan,netral
162,tapi bener sih awal gw main game suka banget pake cheat akhirnya tengelam ingin buat dan akhir cuman bisa bikin flashdis killer ga lanjut karna pc sendiri rusak,netral
163,salah nangkep bjorka malah bjirka,negatif
164,maklumin aja lah ke banyak kerja terlalu santai jadi kaya gini gk becuss,negatif
165,plot twist bjorka nya yang lagi podcastt auuuuuuuuu,netral
166,nangkap maling motor aja gk bisa byorka,negatif
167,coba yg hpnya siomi custom rom dan root absen,netral
168,harusnya ank cerdas seperti ini direspon positif oleh pemerintah beri lapangan pekerjaan,netral
169,keren ya jika digunakan untuk halhal positif,netral
170,dulu waktu gue sma bisa ubah semua tampilantampilan windows aja udah merasa jadi hacker,negatif
171,pendapat saya bjorka itu adalah suatu komunitas punya instansi sendiri,netral
172,buat yg pengin tau bjorka itu seorang wanita di bermain solo alias sendirigk berkelompok,netral
173,polisi itu tidak bergunamentang2 berseragam arogan lah kasus nya bnyk suka pungli ya nyusahin rakyat iblis yg model ini ngaku nangkep bjorka udah di benci ehh mlah mau nipu nangkap bjorkayg ada perilaku d bongkar bubar aja loh pada2,negatif
174,bener juga sih kata bang teguh ada masanya retas website terus pampang nama alias,netral
175,semoga pemerintah di era apapun focus memanfaatkandan mengoptimalkan talenta2 potensial dalam negeri agar nkri maju dan sejahterabanyak fakta talenta anak diabaikan negara akhirnya terlantar bahkan dimanfaatkan pihak lain contohth 19803 its berhasil merancang mobil listrik sukses ujuicoba dari surabaya ke jakarta eeee setelahnya diabaikanakhirnya tenggelamsekarang motor china membanjiri indobgt pula mobilnyaitu akibat karakter politisi yg tidak beneringat juga bgmn iptn disiasiakan,netral
176,dia adlah yg asli ituuu itu kalian tonton skrng,netral
177,polisi kerjanya koleksi istri sirih pelihara para gundiknya dan nangkap istrinya orang,negatif
178,bjiorka lu tangkep walaupun kw bjiorwi kapan,netral
179,hahaha,netral
180,hacker pun mampu memanipulasi,negatif
181,hacker itu bisa berkelompok bahkan berbaur dan tidak terlihat,netral
182,orng in yg gue tunggu om lu undang lagi akhirnya bisa juga terimah ksih panutan,netral
183,polisi kena buly cook,negatif
184,4616 siapa tuh yang katanya bodoh fufufafa ya,netral
185,basmi judol aj g becus eh berlagak nangkap hackers cream crakers kali yg di tangkap,negatif
186,saya yakin 99 kasus bjorka ini sebagai pengalihan isu,netral
187,hacker byorka menurut sy alumni anak2 grup di app nimbuzz and ym sebelum ada androidkarna saya dulu anggota diaana,netral
188,menurut saya jadi hackers itu gak enak rumit banyak kerjaan,netral
189,hahahha ini lah negara konoha dimana hukum bisa di beli yang punya kuasa akan bela mati matian padahal jelas bersalah sedangkan hanya membela diri tapi berasal dari rakyat miskin malah adili tidak pantas sebut oknum karna kalian saling melengkapi untuk menutupi kebusukan masing,negatif
190,astaghfirullah,netral
191,apakah beliau yang membuat cheat point blank 2510,netral
192,dibayar mahal tapi ga bisa kerja dan dipecat gimana negara hancur le,negatif
193,bjorka itu org dalam istana,netral
194,gue aj yg kurang paham cyber security ga percaya semudah itu polisi bisa nangkap bjorka wkwkwkwk,negatif
195,bjorka orang singapura dari pertama muncul sudah ramai padahal di dw,netral
196,mestnya orang2 ini bisa membantu pemerintah di bareskrim komdigi bin dll sayang sekali jika bekerja dengan swasta apalagi luar negeri,negatif
197,reformasi polri secepatnya,negatif
198,eleh berharap polisi nangkep tidak mungkin lah kan rakyat indo tau kinerja bagaimana,negatif
199,ini cerita kura balapan sama kelinci,netral
200,hahaha ga nyenggol polisi rame si,negatif
201,tidak semudah itu paulo,netral
202,kelakuan polisi salah nangkep udah biasa,negatif
203,kalau ngehack situng kpu percuma sih kan hitung suaranya masih manual ada formulirdokumen yang bisa dilacak makanya mainhya juga alias beli suara ama petugas pencatat hehehe,netral
204,masukin perintah ke mesin automation mencari celah pintu masuk aplikasi 4031 apalagi sekarang lagi tren ai,netral
205,dugaan ku nantinya akan ditersangkakan juga kasus terkait kebobolan pdn kominfo sengaja mengaburkan pelaku aslinya org2 sendiri utk mencari keuntungan,netral
206,1752 catat,netral
207,biasa cari pencitraan bila simpati masyarakat dan pangkat demi keuntungan pribadi tapi merugikan,negatif
208,berita bjorka ketangkap gue ngakak abis sampai perut sakit cuk bjorkanya macam mabuk lem,netral
209,sorot kasus pertamina,netral
210,maaf kalau salah tolong dikoreksi saya percaya hacker itu ada dan bisa membobol sistem database tapi memang bjorka mampu lacak hack rekening para koruptor oknum pengusaha nakal uangya dikirim ke yayasan yg bergerak dibidang sosial masyarakat biar mungkin efek jera,netral
211,dipermalukan anak,netral
212,now were happy,netral
213,gimana kabar anak buahnya pulisi yg bikin laporan ke atasannya bahwa wft itu bjorka ya,netral
214,jadi inget kmrin yg katanya canggih ternyata di layar ada tulisan lorem ipsum,netral
215,bukan podcast tpi kayak lebih cari informasi ni bapak,netral
216,polisi pengen dianggap keren bs nangkep bjorkapadahal nangkap pencuri motor aja nggak mampu,negatif
217,kalau di ancam ya ngaku kan itu pointnya,netral
218,kalau udah benar baru mau bantu gong sihh sangat betul tu,netral
219,nih polisi random banget sih nangkep orang salah tangkap mulu heran dari pertama bilang byorca aku udah ngakak parah trust issue gua gede sama konoha,negatif
220,polisi lulusan sma mana paham psikologi,negatif
221,noooh,netral
222,mau komen pedas takut d tangkap,netral
223,polisi mana bisa nangkap bisanya ngawur aj,negatif
224,wah berarti fufufafa itu bener dong,netral
225,biasalah kalo aparat ada yg viral pasti buat pengalihan isu,negatif
226,bener luar biasa w sampai nonton akhir,netral
227,semakin kesini kesana tuh si coklat anaconda yang bikin geger eh piton sawah mereka tangkap,negatif
228,harusnya hacker² yg pinter gini layak di rekrut jadi anggota polri unit cyber bisa bermanfaat tuh buat nyadap² pejabat biar gk korupsi,netral
229,yg dibahas menit 36 instansinya keknya dah banyak tahu nih,netral
230,poli dikadalin bukannya ngadalin rakyat ya,netral
231,gw prnh ikutan lg di tele kna 250rbu,netral
232,pmth blum sampai situ sadarnya gen boomber nth klo dah zm yg lebih melek it,negatif
233,gua suka nonton podkas ini yg benci cc nya gak pernah aktif karena tdk selalu play di ruangan sunyi,netral
234,pengalihan issu fufufafa ijasah palsu,negatif
235,cek judul komedi nya,netral
236,ini mah pengalihan isu aja dr masalah mbg sama pembakaran kilang minyak,negatif
237,duuh itu kan strategi kuda troyatau,netral
238,hampir semua awal mula haker dari suatu game,netral
239,kalau sudah kinerja ngawur menangkap bjorka penjahat cyber macem gitu lantas dengan bangganya dipublikasikan baiknya itu polisi bubarkan saja kang dedy emang pada tidak malu,negatif
240,menit 29 gong sihh di bantu pemerintah malah laporkan dan jemput polisi aneh nya indonesiaa kuuu untuk bjorka gas terusss atas sana indonesia diatas makin kaya bawah miskin hanya mementingkan kepentingan pribadi saja,netral
241,dikira nangkep hecker semudah ngambil nasi kali yang nama nya hacker sebelum bertindak sudah membentengi dirinya agar tidak terlacak salahsatunya manipulasi proxy mungkin klw dia pakai 1 atau 2 gampang buat tertangkap tapi 10 lebih akan susah untuk contoh ip di sembunyiin dan seterus sedangkan setiap pegang satu negara jadi pihak keamanan harus minta bantuan sama penyedia tersebutterus misal terbongkar dapet ehh ter sebut mampus lagi tersebut tau ini alur dari mana seterusnya baru blum lain ya kocak emang 62 aparatnya contohnya kasus kalimantan aja butuh berapa intansi lama waktu itu pembuat script saja sangat sulit apa pengguna,negatif
242,awal saya belajar hacking juga berawal dari game iseng penasaran gimana sistem itu berjalan pure otodidak semua kalo kalian digging di internet bermodalkan vpn pasti bisa,netral
243,polisi indo itu ibarat anak yang manja otak kosong nakal tapi banyak mau dan mirisnya mereka bangga,negatif
244,instansi badut cyber polri wkwkwkwk,negatif
245,masih nunggu para hacker keluarin aib koruptor dan kepolisian tiap hari kalo polosi ada yang ngide nangkep anak komunitas gak bersalah awas aja tuh,negatif
246,wih nyenggol danantara,netral
247,buatin live aja om it polisi vs rank 1 cyber jawara kita lihat lebih jago pemerintah ini apa anak kampus,negatif
248,polri emg harus rekrut tim cyber yang bener2 ahli,netral
249,lucu aja kalau polisi indonesia bisa menangkap bjorka haus pujian rakyat tangkap dulu deh bandar judol,negatif
250,bang hacker bikin hujan duit yu di indo,netral
251,bjorka ambil uang dpr bisa ga sii di kuras rekeningnya,netral
252,ahhh beli robot aja kaya gitu,negatif
253,wah baru sadar gw kenapa dari dulu om ded bisa nyari orang cuma akun ig youtube dsb temennya beginian,netral
254,terima kasih,netral
255,intinya kalau mau dicari bisa karena orangnya paling itu2 aja tapi mereka gamau buat apa ga ada urgensinya malah dgn adanya bjorka jadi banyak klien krn makin yg sadar pentingnya cyber security,negatif
256,brogjoo itu katanya ada di amrik bukan konoha hehehh,negatif
257,bjorka lagi baca komentar kalian,netral
258,cara ngetag kapolri gimana bang bosen banget liat polisi kek gini trus,netral
259,gw udh ga percaya sama polisi,negatif
260,hack akun pejabat korup bang,netral
261,hari2 bikin malu instansi kita 1 ini pengen ngomong kasar aja rasanya,negatif
262,sibuk bangat urusin polisi salah tangkap bjorka instansi sendiri diurusin noh mulai dari recruitment yg kita semua tau anak2 bangsa punya semngat bela negara impianya harus terkubur karna tidak uang untuk byr belum lagi beking sana sini dalam segala hal dan kebanyakan melawan rakyat kecil terlalu bayak lah diperbaiki tapi mulailah oaling dekat dengan yaitu arogansi,negatif
263,harusnya bjorka muncul,netral
264,yang keliatan aja ga ketangkep apalagi,negatif
265,polisi nyarik pangkat biasanya,negatif
266,pemerintah bisanya kerja apa ya sepertinya gaji dan kerjanya gak sesuai,negatif
267,plot twist nya dia adalah bjorka sendiri wkwk,netral
268,disini bisa disimpulkan klo indonesia banyak sekali anak muda yang memiliki talenta it namum,netral
269,kalau lu pinter kok gak bantu polri bang mengungkap bjorka sebenarnya biar ilmu bermanfaat jalan yang benar,netral
270,1900 haha hihi __,netral
271,pengen ketawa takut dosa,netral
272,ganti para boomer di pemerintah yg gk melek teknologi,netral
273,salam kenal om dedy dr wamena papua,netral
274,ini adalah isu pengalihan uud perempasan aset,negatif
275,seragam coklat cari panggung,negatif
276,liat podcast ini kasus bjorka ktnya tujuannya bukan uang sy rasa org yg berkebutuhan khusus menerka dengan lembut,netral
277,bug bounty yg sering di dapet paling sertif doang wkwkwk klo pemerintahan,negatif
278,nangkap siplester aja gak mampu,negatif
279,korupsi harus di hukum mati baru indonesia akan jaya,netral
280,gak ada sejarahnya hacker kelas atas koar2 kalo dirinya dan rata2 di real life dia pendiam tdk bnyk bergaul basecamp nya kamar makan mie goreng sambil mantau komputer,netral
281,di depan mas dedy adalah biorrr,netral
282,jangankan hacker maling ayam dan dukun cabul aja masih salah tangkap ngimpi sok keren amat bisa nangkep hhuuaaaahahahahaha,negatif
283,biorka itu comunitas bukan individu dan yg menjalankan satu orang kaga bakal ketangkep,netral
284,netizen sabar aja nanti diuji di pengadilan,negatif
285,skill isue pake pengalihan ini orang nya udh ketangkap pas di serang balik beneran sama bjoker awokawok langsung miris,netral
286,yg dibilang dipelihara itu di tangkap terus suruh bagi hasil wkwkwk,negatif
287,bjorka tersenyum melihat ini sambil makan kacang,netral
288,kalo mau tau siapa org kunci nya 2004,netral
289,pengen bgt liat goblin bahlil ada disini,netral
290,emng bisa nangkep bjorka,negatif
291,itu physical device dari israel namanya pegasus,netral
292,lebih lawak lagi siber pold jatim njir nangkep in pemain judol terus di palak 15jt perkepala bandar nya malah leha wkkw 702,negatif
293,alangkah malu nya polisi sotoy itu yaa psti dia dlm anjirrr se indonesia gua,negatif
294,ciri bjorka 1 matanya juling 2 pake kacamata 3 kecil badannya 4 youtuber juga 5 wibu 6 tukang prank siapakah dia,netral
295,saran bang deddy undang pak onno purbo beliau menyediakan kelas gratis tentang hal ini,netral
296,ladusing wkwkkwkwkw,negatif
297,bjorwi,netral
298,yg dipelihara negara itu koruptor,netral
299,undang pak onno w purbo dong let kol deddy,netral
300,wooww sekelas hecker kepolisian bisa ketipu,negatif
301,bjorka ketangkep harun masiku kapan pupukpapah,netral
302,intinya jngn pernah bantu aparat karna bs berbalik ke kita ujungnya cm minta maaf tau anjink tapi nama baik hancur,netral
303,harun masikun aja yang dah jelas orangnya ktp nya kaga bisa nagkepapalgy ini biorka sedunia ketawa sekebon,negatif
