,text_cleaned,label
568,orang kita itu lebih milih sadar kalo sudah kejadian sama dirinya bukan belajar dari yg menimpa lain,
569,numpang senyum,
570,percaya gk percayaada info security cyber pwrbankan di indonesia itu byarany 1m perhari,
571,kelihatan bobroknya institusi polisi yg sering salah tangkap,
572,jepang harus lihat potensi indo yg ini,
573,segala nangkep hacker nangkap maling motor aja gk dapet,
574,secara gak langsung polisi jelas sangat haus validasi dan pengakuan kroscek sama sekali,
575,makanya pas ada berita penangkapan bjorka kemarin gw langsung ketawa dan 100 ga percaya krn inget dulu yg 2022 penjual es ditangkap diduga,
576,wkwkwkwkwkwkwkwkkkkk,
577,gak tau ya mungkin selama ini ada prestasi santai tp pedes,
578,ini baru orang benarbenar cerdas dia tahu kelemahan masyarakat indonesia yg katanya paling religius dan mudah dikelompokkan masuk ke ranah sensitif otomatis lebih aman dalam berkonten youtube netizent jadi gandrung sama cannel karena sudah ada dijalur mayoritas salut kecerdasan anda,
579,malumaluin negara aja institusi coklat,
580,om ded ga bahas tni yang meninggal pas acara hut kasian loh semoga almarhum husnul khotimah,
581,bang ded coba undang pace komputer,
582,bjorka yg asli lgi ketawa sambil baca berita,
583,jangankan bjorka blokir pinjol aja gk bisa,
584,kedepan kalau muncul byorka yg asli maka polisi malu gak yaginian harusnya pemerintah merekrut orang2 ginian bisa membantu sayber pemerintahan untuk membuat keamanan karena orang ini sesungguhnya sangat pintar sistim program,
585,paling suka dengar keterangan dri teguh,
586,plot wist nya dia bjorkanya,
587,fufufafa aja gak ketangkepgitu mau nangkep bjorka,
588,kalau bukan bjorka berarti yang ketangkep bjirka,
589,indonesia kebanyakan di pimpin oleh para boomer yang hidup jaman prasasti makanya susah mau aware masalah teknologi ditambah lagi pola pikir gak maju,
590,polisi baca komen2 di sini ketawa gak ya,
591,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
592,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
593,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
594,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
595,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
596,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
597,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
598,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
599,jaringan itu supersuper simpel karena di dalamnya sama persis kayak dunia nyatakehidupan manusia yang dimana suatu ada bahasa pemrograman jalur ip adress kuncinya juga pembuka malingnya adapembobol server memiliki pusat pokoknya apa nyata aplikasikan jadi mau sehebat apapun pengamanan tidak akan bisa sampai 100 aman aja gak klaim apalagi,
600,oiya orang kalimantan sekarang udah keluar hackernya,
601,sm kyk flim the accountant dongyg dibantu oleh it autism,
602,berarti polisi ngawur dongmaksudnya apa yaaa,
603,polisi tidur nyata dan banyak,
604,ladusing kaga mampu tangkap byorka krna setiap pembicaraan itu udhh tw jadi gk mungkin klw bandar judol kecil c bisa lah,
605,policinya sibuk olahraga lari kalau pagi nggak sempet belajar wkwkwk,
606,judol dong di bahas,
607,narasumber dalam ke adaan tidak aman bukanya dc adalah intelijen,
608,gua yakin bjorka nonton ini sambil berak pegang hp dan ketawa ha hi,
609,sekali kali undang pak jim geovedi dari sudut pandang dia bagaimana keamanan cyber di indonesia om ded,
610,tapi serius komunitas hacker itu orang nya asik tahun 20122013 tuh pernah join salah satu grup blackhat dan isinya bener ga pelit ilmu yg diajarin selalu dikasih catatan gunakan dengan bijak jangan digunakan di negara sendiri jadi aktivitas pernah² pantau sama anak tersebut,
611,lawakan mu sungguh lah lucu,
612,jarang kerja sekalinya gk bnr,
613,benjamin angel di the movie who am i yg bisa nangkep hacker ya itu sendiri,
614,salah satu faktor jepang gandeng india perbanyak kehidupan di,
615,𝙂𝙖𝙠 𝙠𝙚𝙧𝙟𝙖 𝙩𝙖𝙥𝙞 𝙙𝙞𝙜𝙖𝙟𝙞 𝙟𝙖𝙙𝙞 𝙥𝙤𝙡𝙞𝙨𝙞,
616,obrolan om teguh banyak chuaakkssnya wkwkw,
617,polisi kelihatan bodohnya,
618,wes to percaya saya bjorka itu adalah orang kepolisianarmy sendiri yaitu intelejen ttd ardian shacker no wahid indonesia,
619,𝐇𝐔𝐑𝐀𝟓𝟎𝟎 jamin anti rungkad,
620,we do not own what produceit owns us,
621,ajibb karna gak ada prestasi mungkin mereka butuh kelas boosss,
622,tugasnya hanya berdiri di depan spbu foto2,
623,jangan kan prestasi kerja nyata dan bener aja udah susah mereka lakukan institusinya kaga bisa sulit dipercaya udh kebangetan bobrok harus di reformasirusak sistemnya sudah dongo banget kegocek anak punk,
624,malu maluin kepolisan konaha,
625,segitu parah nya instansi itu di mata rakyak sampe hacker yg baik aja ga mau nolong ketika dia obok² datanya malah anggap hiburan,
626,pelayan kita memang lebih pinter ngelawak daripada ngejalani tugas,
627,ini nih saya lagi mau belajar hidup it,
628,om ded coba tanya narsumnyapernah ditangkap fbi cia belum,
629,saya bjorka tertawa terbahak bahak melihat semua kegaduhan ini,
630,paling suka menit 46 detik 13,
631,mantap bos dedi,
632,polisi kita itu banyak yg bodoh terutama cuma tamat sma tes masuk tanpa kemampuan gaji gede sementara ank kuliah s1 sulit cari kerja,
633,kalau soal salah tangkap itu sudah hal biasa di kepolisian indonesia bukan polisi tidak,
634,polisi berperestasi bntr2 gw numpang ketawa dulu behahahaha,
635,knp lara hacker ngk mau bobol apk pinjol,
636,bjorka muncul lgi stlh punk ditangkapbjorka akan bocorkan tentang bgn yg sansitif,
637,kalo bener bearti 2 kali salah tangkep bjorka udahlah buang waktu,
638,anakpintar bukan dipelihara negarayg koruptor,
639,biorka itu orang bali,
640,bisa dibilang memang benar dengan statement tentang kualitas tim cyber kepolisian karena dlupun pernah ada kasus komunitas sbh yg tertangkap 700 bawahan laporan fbi ke indonesia lokasi terkini di surabaya,
641,cobaq semua hekker di jadikan asn bisa masuk polisi tni dan staf negara,
642,ya ngga tau mungkin karena gk ada prestasi selama ini jadi butuh,
643,,
644,salah tangkap mau taruh dimana itu muka pak pol,
645,polisi adalah institusi paling tidak berguna,
646,pegasus israel,
647,yakin personilnya saja banyak yg kepilih hasil dari jual sawah bukan krn sdm trs klaim bisa nangkep bjorka koplak,
648,,
649,ngakak emang ya dengernya,
650,bjorka bocorkan data ijazah pejabat,
651,sumph dri dulu polisi smpek skrng gk ad kualitas nya gmna mau org lulusan rendah dan usah pinter yg penting duit cair bisa jdi,
652,efek reformasi kepolisian,
653,jgnkan hacker hp ku saja yg kemalingan 20unit lebih sampai skrng gsk di dapat pelakuny padahal smua imei ny ada sy catat tapi gak bisa lacak dari 20hp hanya 4 dpat itupun nanti ciduk sndiri info jual beli minta pendamping polisi buat temani tdk ready kantor kacau emang negri ini,
654,yang ada didepan mata aja ndak ditangkapsok2an nangkap bjorka konyol,
655,entar jangan orang biasanya nyari sumbangan pakai map di tangkap dibilangnya bandar judol maklum lah mau akhir taun buat sarana naikin jabatan,
656,mana biorka muncul dong kalau bukan lo yang ditangkap,
657,tidak ada sistem yang aman,
658,pada intinya negara ti tidak mau rakyat nya piterpengennya pinter tpi bisa di atur sesuai kepentinganujung ujung harus bodoh,
659,hacker kelas atas ga mungkin ketangkep sama ecek,
660,dedi terlihat bego di depan orang ini,
661,curiga abang ini yang dulu bikin cheat point blank pekalongan,
662,tapi bener sih awal gw main game suka banget pake cheat akhirnya tengelam ingin buat dan akhir cuman bisa bikin flashdis killer ga lanjut karna pc sendiri rusak,
663,salah nangkep bjorka malah bjirka,
664,maklumin aja lah ke banyak kerja terlalu santai jadi kaya gini gk becuss,
665,plot twist bjorka nya yang lagi podcastt auuuuuuuuu,
666,nangkap maling motor aja gk bisa byorka,
667,coba yg hpnya siomi custom rom dan root absen,
668,harusnya ank cerdas seperti ini direspon positif oleh pemerintah beri lapangan pekerjaan,
669,keren ya jika digunakan untuk halhal positif,
670,dulu waktu gue sma bisa ubah semua tampilantampilan windows aja udah merasa jadi hacker,
671,pendapat saya bjorka itu adalah suatu komunitas punya instansi sendiri,
672,buat yg pengin tau bjorka itu seorang wanita di bermain solo alias sendirigk berkelompok,
673,polisi itu tidak bergunamentang2 berseragam arogan lah kasus nya bnyk suka pungli ya nyusahin rakyat iblis yg model ini ngaku nangkep bjorka udah di benci ehh mlah mau nipu nangkap bjorkayg ada perilaku d bongkar bubar aja loh pada2,
674,bener juga sih kata bang teguh ada masanya retas website terus pampang nama alias,
675,semoga pemerintah di era apapun focus memanfaatkandan mengoptimalkan talenta2 potensial dalam negeri agar nkri maju dan sejahterabanyak fakta talenta anak diabaikan negara akhirnya terlantar bahkan dimanfaatkan pihak lain contohth 19803 its berhasil merancang mobil listrik sukses ujuicoba dari surabaya ke jakarta eeee setelahnya diabaikanakhirnya tenggelamsekarang motor china membanjiri indobgt pula mobilnyaitu akibat karakter politisi yg tidak beneringat juga bgmn iptn disiasiakan,
676,dia adlah yg asli ituuu itu kalian tonton skrng,
677,polisi kerjanya koleksi istri sirih pelihara para gundiknya dan nangkap istrinya orang,
678,bjiorka lu tangkep walaupun kw bjiorwi kapan,
679,hahaha,
680,hacker pun mampu memanipulasi,
681,hacker itu bisa berkelompok bahkan berbaur dan tidak terlihat,
682,orng in yg gue tunggu om lu undang lagi akhirnya bisa juga terimah ksih panutan,
683,polisi kena buly cook,
684,4616 siapa tuh yang katanya bodoh fufufafa ya,
685,basmi judol aj g becus eh berlagak nangkap hackers cream crakers kali yg di tangkap,
686,saya yakin 99 kasus bjorka ini sebagai pengalihan isu,
687,hacker byorka menurut sy alumni anak2 grup di app nimbuzz and ym sebelum ada androidkarna saya dulu anggota diaana,
688,menurut saya jadi hackers itu gak enak rumit banyak kerjaan,
689,hahahha ini lah negara konoha dimana hukum bisa di beli yang punya kuasa akan bela mati matian padahal jelas bersalah sedangkan hanya membela diri tapi berasal dari rakyat miskin malah adili tidak pantas sebut oknum karna kalian saling melengkapi untuk menutupi kebusukan masing,
690,astaghfirullah,
691,apakah beliau yang membuat cheat point blank 2510,
692,dibayar mahal tapi ga bisa kerja dan dipecat gimana negara hancur le,
693,bjorka itu org dalam istana,
694,gue aj yg kurang paham cyber security ga percaya semudah itu polisi bisa nangkap bjorka wkwkwkwk,
695,bjorka orang singapura dari pertama muncul sudah ramai padahal di dw,
696,mestnya orang2 ini bisa membantu pemerintah di bareskrim komdigi bin dll sayang sekali jika bekerja dengan swasta apalagi luar negeri,
697,reformasi polri secepatnya,
698,eleh berharap polisi nangkep tidak mungkin lah kan rakyat indo tau kinerja bagaimana,
699,ini cerita kura balapan sama kelinci,
700,hahaha ga nyenggol polisi rame si,
701,tidak semudah itu paulo,
702,kelakuan polisi salah nangkep udah biasa,
703,kalau ngehack situng kpu percuma sih kan hitung suaranya masih manual ada formulirdokumen yang bisa dilacak makanya mainhya juga alias beli suara ama petugas pencatat hehehe,
704,masukin perintah ke mesin automation mencari celah pintu masuk aplikasi 4031 apalagi sekarang lagi tren ai,
705,dugaan ku nantinya akan ditersangkakan juga kasus terkait kebobolan pdn kominfo sengaja mengaburkan pelaku aslinya org2 sendiri utk mencari keuntungan,
706,1752 catat,
707,biasa cari pencitraan bila simpati masyarakat dan pangkat demi keuntungan pribadi tapi merugikan,
708,berita bjorka ketangkap gue ngakak abis sampai perut sakit cuk bjorkanya macam mabuk lem,
709,sorot kasus pertamina,
710,maaf kalau salah tolong dikoreksi saya percaya hacker itu ada dan bisa membobol sistem database tapi memang bjorka mampu lacak hack rekening para koruptor oknum pengusaha nakal uangya dikirim ke yayasan yg bergerak dibidang sosial masyarakat biar mungkin efek jera,
711,dipermalukan anak,
712,now were happy,
713,gimana kabar anak buahnya pulisi yg bikin laporan ke atasannya bahwa wft itu bjorka ya,
714,jadi inget kmrin yg katanya canggih ternyata di layar ada tulisan lorem ipsum,
715,bukan podcast tpi kayak lebih cari informasi ni bapak,
716,polisi pengen dianggap keren bs nangkep bjorkapadahal nangkap pencuri motor aja nggak mampu,
717,kalau di ancam ya ngaku kan itu pointnya,
718,kalau udah benar baru mau bantu gong sihh sangat betul tu,
719,nih polisi random banget sih nangkep orang salah tangkap mulu heran dari pertama bilang byorca aku udah ngakak parah trust issue gua gede sama konoha,
720,polisi lulusan sma mana paham psikologi,
721,noooh,
722,mau komen pedas takut d tangkap,
723,polisi mana bisa nangkap bisanya ngawur aj,
724,wah berarti fufufafa itu bener dong,
725,biasalah kalo aparat ada yg viral pasti buat pengalihan isu,
726,bener luar biasa w sampai nonton akhir,
727,semakin kesini kesana tuh si coklat anaconda yang bikin geger eh piton sawah mereka tangkap,
728,harusnya hacker² yg pinter gini layak di rekrut jadi anggota polri unit cyber bisa bermanfaat tuh buat nyadap² pejabat biar gk korupsi,
729,yg dibahas menit 36 instansinya keknya dah banyak tahu nih,
730,poli dikadalin bukannya ngadalin rakyat ya,
731,gw prnh ikutan lg di tele kna 250rbu,
732,pmth blum sampai situ sadarnya gen boomber nth klo dah zm yg lebih melek it,
733,gua suka nonton podkas ini yg benci cc nya gak pernah aktif karena tdk selalu play di ruangan sunyi,
734,pengalihan issu fufufafa ijasah palsu,
735,cek judul komedi nya,
736,ini mah pengalihan isu aja dr masalah mbg sama pembakaran kilang minyak,
737,duuh itu kan strategi kuda troyatau,
738,hampir semua awal mula haker dari suatu game,
739,kalau sudah kinerja ngawur menangkap bjorka penjahat cyber macem gitu lantas dengan bangganya dipublikasikan baiknya itu polisi bubarkan saja kang dedy emang pada tidak malu,
740,menit 29 gong sihh di bantu pemerintah malah laporkan dan jemput polisi aneh nya indonesiaa kuuu untuk bjorka gas terusss atas sana indonesia diatas makin kaya bawah miskin hanya mementingkan kepentingan pribadi saja,
741,dikira nangkep hecker semudah ngambil nasi kali yang nama nya hacker sebelum bertindak sudah membentengi dirinya agar tidak terlacak salahsatunya manipulasi proxy mungkin klw dia pakai 1 atau 2 gampang buat tertangkap tapi 10 lebih akan susah untuk contoh ip di sembunyiin dan seterus sedangkan setiap pegang satu negara jadi pihak keamanan harus minta bantuan sama penyedia tersebutterus misal terbongkar dapet ehh ter sebut mampus lagi tersebut tau ini alur dari mana seterusnya baru blum lain ya kocak emang 62 aparatnya contohnya kasus kalimantan aja butuh berapa intansi lama waktu itu pembuat script saja sangat sulit apa pengguna,
742,awal saya belajar hacking juga berawal dari game iseng penasaran gimana sistem itu berjalan pure otodidak semua kalo kalian digging di internet bermodalkan vpn pasti bisa,
743,polisi indo itu ibarat anak yang manja otak kosong nakal tapi banyak mau dan mirisnya mereka bangga,
744,instansi badut cyber polri wkwkwkwk,
745,masih nunggu para hacker keluarin aib koruptor dan kepolisian tiap hari kalo polosi ada yang ngide nangkep anak komunitas gak bersalah awas aja tuh,
746,wih nyenggol danantara,
747,buatin live aja om it polisi vs rank 1 cyber jawara kita lihat lebih jago pemerintah ini apa anak kampus,
748,polri emg harus rekrut tim cyber yang bener2 ahli,
749,lucu aja kalau polisi indonesia bisa menangkap bjorka haus pujian rakyat tangkap dulu deh bandar judol,
750,bang hacker bikin hujan duit yu di indo,
751,bjorka ambil uang dpr bisa ga sii di kuras rekeningnya,
752,ahhh beli robot aja kaya gitu,
753,wah baru sadar gw kenapa dari dulu om ded bisa nyari orang cuma akun ig youtube dsb temennya beginian,
754,terima kasih,
755,intinya kalau mau dicari bisa karena orangnya paling itu2 aja tapi mereka gamau buat apa ga ada urgensinya malah dgn adanya bjorka jadi banyak klien krn makin yg sadar pentingnya cyber security,
756,brogjoo itu katanya ada di amrik bukan konoha hehehh,
757,bjorka lagi baca komentar kalian,
758,cara ngetag kapolri gimana bang bosen banget liat polisi kek gini trus,
759,gw udh ga percaya sama polisi,
760,hack akun pejabat korup bang,
761,hari2 bikin malu instansi kita 1 ini pengen ngomong kasar aja rasanya,
762,sibuk bangat urusin polisi salah tangkap bjorka instansi sendiri diurusin noh mulai dari recruitment yg kita semua tau anak2 bangsa punya semngat bela negara impianya harus terkubur karna tidak uang untuk byr belum lagi beking sana sini dalam segala hal dan kebanyakan melawan rakyat kecil terlalu bayak lah diperbaiki tapi mulailah oaling dekat dengan yaitu arogansi,
763,harusnya bjorka muncul,
764,yang keliatan aja ga ketangkep apalagi,
765,polisi nyarik pangkat biasanya,
766,pemerintah bisanya kerja apa ya sepertinya gaji dan kerjanya gak sesuai,
767,plot twist nya dia adalah bjorka sendiri wkwk,
768,disini bisa disimpulkan klo indonesia banyak sekali anak muda yang memiliki talenta it namum,
769,kalau lu pinter kok gak bantu polri bang mengungkap bjorka sebenarnya biar ilmu bermanfaat jalan yang benar,
770,1900 haha hihi __,
771,pengen ketawa takut dosa,
772,ganti para boomer di pemerintah yg gk melek teknologi,
773,salam kenal om dedy dr wamena papua,
774,ini adalah isu pengalihan uud perempasan aset,
775,seragam coklat cari panggung,
776,liat podcast ini kasus bjorka ktnya tujuannya bukan uang sy rasa org yg berkebutuhan khusus menerka dengan lembut,
777,bug bounty yg sering di dapet paling sertif doang wkwkwk klo pemerintahan,
778,nangkap siplester aja gak mampu,
779,korupsi harus di hukum mati baru indonesia akan jaya,
780,gak ada sejarahnya hacker kelas atas koar2 kalo dirinya dan rata2 di real life dia pendiam tdk bnyk bergaul basecamp nya kamar makan mie goreng sambil mantau komputer,
781,di depan mas dedy adalah biorrr,
782,jangankan hacker maling ayam dan dukun cabul aja masih salah tangkap ngimpi sok keren amat bisa nangkep hhuuaaaahahahahaha,
783,biorka itu comunitas bukan individu dan yg menjalankan satu orang kaga bakal ketangkep,
784,netizen sabar aja nanti diuji di pengadilan,
785,skill isue pake pengalihan ini orang nya udh ketangkap pas di serang balik beneran sama bjoker awokawok langsung miris,
786,yg dibilang dipelihara itu di tangkap terus suruh bagi hasil wkwkwk,
787,bjorka tersenyum melihat ini sambil makan kacang,
788,kalo mau tau siapa org kunci nya 2004,
789,pengen bgt liat goblin bahlil ada disini,
790,emng bisa nangkep bjorka,
791,itu physical device dari israel namanya pegasus,
792,lebih lawak lagi siber pold jatim njir nangkep in pemain judol terus di palak 15jt perkepala bandar nya malah leha wkkw 702,
793,alangkah malu nya polisi sotoy itu yaa psti dia dlm anjirrr se indonesia gua,
794,ciri bjorka 1 matanya juling 2 pake kacamata 3 kecil badannya 4 youtuber juga 5 wibu 6 tukang prank siapakah dia,
795,saran bang deddy undang pak onno purbo beliau menyediakan kelas gratis tentang hal ini,
796,ladusing wkwkkwkwkw,
797,bjorwi,
798,yg dipelihara negara itu koruptor,
799,undang pak onno w purbo dong let kol deddy,
800,wooww sekelas hecker kepolisian bisa ketipu,
801,bjorka ketangkep harun masiku kapan pupukpapah,
802,intinya jngn pernah bantu aparat karna bs berbalik ke kita ujungnya cm minta maaf tau anjink tapi nama baik hancur,
803,harun masikun aja yang dah jelas orangnya ktp nya kaga bisa nagkepapalgy ini biorka sedunia ketawa sekebon,
804,kalau pro dan bela rakyat menengah kebawah si bjorka ini ada sisi positifnya juga biar tau betapa bobrok para oknum² pemerintahan negara ngibulin rakyatnya toh mereka operatornya manusia bisa buat bekal amal ibadahnya di akhirat kelak please hacker yg baikbaik saja yaaa jangan sampai jualjualin data tak bersalah,
805,alat canggih buatan israel indo sudah punya,
806,jangankan kerja di cyber tuh polisi buat jalan ajah malas apalagi suruh utak atik it indonesia itu sudah sebagian besar busuk,
807,waduh cyber jawara di bukak buset banggg udah bang,
808,trik simpel chat rahasia pakai fitur dalam game yang mendukung pm,
809,potong satu generasipola pikir jadul,
810,746 ada suara misteriushaaaaaaaaaaaaaaa,
811,masih percayaaz,
812,bjorka lagi nyender makan telor gulung ama es teh jumbo di teras sambil liat berita silop indo,
813,pertanyaan deddy investigasi diam2hahah kalo lu jd bjorka,
814,segoblok itukah mereka,
815,saat ini lagi dlm pertarungan sipat baik dg jahat di indonesia mayoritas muslim terbesar dunia melihat kwalitas iman penakut akan slalu terombang ambing,
816,dlu jaman gua skolah 2013an tiap pgi bingung pulis bnyk cok di jln raya naik motor rawan ajg skrng pada gda coy mls amat gausa jauh2 permainna cyber wmmwmw,
817,bingung cari tempat top up terpercaya 𝗛𝗢𝗞𝗜𝗕𝗢𝗦𝟴𝟵𝟴 solusinya,
818,fufu fafa aja kaga berani nangkep,
819,bjorka itu bukan 1 atau pemain utamaseperti hal nya annonimousjadi sampai kapanpun mereka akan tetap adadan percaya gak para cyber ini juga sebenernya menjaga indonesia melalui dunia cyberklo dah jebol parah data2 org2 baik di pemerintahan sipil,
